epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.356,0.99641,0.79266,1.21795,0.7868,0.53257,0.60797,0.4635,0.95735,0.81721,1.22998,0.000174837,0.000174837,0.000174837
2,231.139,0.9851,0.7182,1.20733,0.77478,0.53196,0.60358,0.45421,0.97681,0.84559,1.25357,0.000346703,0.000346703,0.000346703
3,293.994,0.98887,0.72031,1.21619,0.74972,0.52962,0.59168,0.4442,0.98714,0.91941,1.24991,0.000515098,0.000515098,0.000515098
4,356.11,0.97518,0.71406,1.21168,0.78603,0.52541,0.59731,0.44567,0.97627,0.86357,1.2482,0.000510378,0.000510378,0.000510378
5,416.436,0.95866,0.6943,1.20737,0.77731,0.52578,0.60035,0.44645,0.97626,0.8621,1.23768,0.00050517,0.00050517,0.00050517
6,480.199,0.97163,0.70026,1.20507,0.77474,0.53401,0.59882,0.45101,0.97285,0.86531,1.24096,0.000499963,0.000499963,0.000499963
7,549.549,0.96077,0.6949,1.18432,0.7501,0.53473,0.59883,0.44679,0.96377,0.84967,1.23889,0.000494756,0.000494756,0.000494756
8,612.935,0.96232,0.69964,1.18839,0.78998,0.51897,0.61795,0.46191,0.95566,0.84508,1.23192,0.000489548,0.000489548,0.000489548
9,673.679,0.9604,0.68829,1.18602,0.74521,0.53488,0.59721,0.4491,0.96799,0.85469,1.23184,0.000484341,0.000484341,0.000484341
10,734.541,0.96124,0.68253,1.19482,0.78469,0.53247,0.60762,0.45918,0.95959,0.85601,1.25424,0.000479133,0.000479133,0.000479133
11,797.262,0.94681,0.68042,1.18218,0.77237,0.53914,0.61248,0.46271,0.95978,0.83261,1.22166,0.000473926,0.000473926,0.000473926
12,865.781,0.94852,0.67442,1.18762,0.77583,0.52804,0.60268,0.45673,0.95436,0.85496,1.22315,0.000468719,0.000468719,0.000468719
13,925.509,0.94071,0.66299,1.18345,0.76616,0.54024,0.61458,0.46555,0.95879,0.82836,1.23062,0.000463511,0.000463511,0.000463511
14,986.338,0.9279,0.66367,1.19114,0.78621,0.53988,0.60988,0.45944,0.95944,0.83699,1.22744,0.000458304,0.000458304,0.000458304
15,1046.21,0.94233,0.67455,1.17981,0.80404,0.52995,0.61263,0.46003,0.96534,0.8307,1.22839,0.000453096,0.000453096,0.000453096
16,1107.76,0.93997,0.6652,1.17824,0.77107,0.53724,0.60772,0.45852,0.95931,0.8341,1.23059,0.000447889,0.000447889,0.000447889
17,1176.12,0.93213,0.66665,1.1786,0.76293,0.55075,0.61122,0.46175,0.9442,0.83017,1.22158,0.000442682,0.000442682,0.000442682
18,1244.81,0.94163,0.6657,1.17937,0.77662,0.54211,0.61666,0.46573,0.96337,0.84003,1.22626,0.000437474,0.000437474,0.000437474
19,1313.82,0.94575,0.66065,1.18905,0.76924,0.54889,0.61029,0.45819,0.96526,0.82596,1.22057,0.000432267,0.000432267,0.000432267
20,1382.43,0.91746,0.64864,1.18138,0.79644,0.53749,0.60829,0.45514,0.9519,0.83519,1.22881,0.000427059,0.000427059,0.000427059
21,1449.79,0.92916,0.65955,1.20242,0.78885,0.53944,0.60532,0.45338,0.96994,0.84153,1.24391,0.000421852,0.000421852,0.000421852
22,1518.19,0.93658,0.65051,1.17531,0.76645,0.5508,0.62289,0.46991,0.9597,0.81992,1.23191,0.000416645,0.000416645,0.000416645
23,1586.37,0.91872,0.65358,1.1747,0.77869,0.54453,0.61353,0.46452,0.95406,0.82924,1.22254,0.000411437,0.000411437,0.000411437
24,1654.87,0.9216,0.65078,1.1762,0.77862,0.54744,0.61659,0.46864,0.94818,0.81841,1.2132,0.00040623,0.00040623,0.00040623
25,1722.95,0.91555,0.64719,1.16682,0.7948,0.5401,0.61123,0.46113,0.94686,0.81582,1.22416,0.000401022,0.000401022,0.000401022
26,1791.28,0.90791,0.64271,1.16837,0.79068,0.53701,0.6186,0.46738,0.94947,0.81247,1.22495,0.000395815,0.000395815,0.000395815
27,1860.12,0.90469,0.62881,1.18339,0.77642,0.54449,0.61778,0.47006,0.94259,0.81045,1.22224,0.000390608,0.000390608,0.000390608
28,1925.78,0.91268,0.63458,1.17869,0.76992,0.54569,0.61357,0.46165,0.94909,0.82556,1.222,0.0003854,0.0003854,0.0003854
29,1988.38,0.92356,0.64293,1.15073,0.76225,0.54919,0.61856,0.47024,0.94097,0.81703,1.2118,0.000380193,0.000380193,0.000380193
30,2049.79,0.92368,0.64474,1.1636,0.77963,0.55469,0.61948,0.46645,0.94859,0.80212,1.21964,0.000374985,0.000374985,0.000374985
31,2111.9,0.91634,0.63755,1.17243,0.77852,0.54798,0.61344,0.46446,0.94335,0.80302,1.23208,0.000369778,0.000369778,0.000369778
32,2173.16,0.89404,0.62382,1.1669,0.78116,0.54103,0.6126,0.46514,0.9444,0.79972,1.21954,0.000364571,0.000364571,0.000364571
33,2234.65,0.89398,0.62811,1.15949,0.78313,0.54587,0.61902,0.46948,0.9431,0.81172,1.21285,0.000359363,0.000359363,0.000359363
34,2297.71,0.89333,0.62222,1.16933,0.76977,0.54893,0.61318,0.46522,0.94565,0.81528,1.21365,0.000354156,0.000354156,0.000354156
35,2363.35,0.90394,0.63061,1.17348,0.77411,0.54511,0.61939,0.46975,0.94206,0.81546,1.20839,0.000348948,0.000348948,0.000348948
36,2425.41,0.8963,0.62949,1.16116,0.79188,0.54982,0.62359,0.47473,0.94089,0.80543,1.22371,0.000343741,0.000343741,0.000343741
37,2486.78,0.88503,0.61386,1.16276,0.76482,0.55373,0.62275,0.47005,0.94283,0.81053,1.22143,0.000338534,0.000338534,0.000338534
38,2547.93,0.89273,0.62369,1.16082,0.78542,0.54388,0.61833,0.46861,0.93653,0.7971,1.22249,0.000333326,0.000333326,0.000333326
39,2609.64,0.90598,0.63316,1.17442,0.77894,0.54842,0.61693,0.46943,0.94293,0.80973,1.2178,0.000328119,0.000328119,0.000328119
40,2671.02,0.89002,0.6179,1.1679,0.77156,0.54262,0.61358,0.46541,0.94383,0.8327,1.22918,0.000322911,0.000322911,0.000322911
41,2732.74,0.89981,0.62192,1.16794,0.77887,0.53758,0.61483,0.47069,0.93675,0.82316,1.21733,0.000317704,0.000317704,0.000317704
42,2794.06,0.87915,0.60757,1.16567,0.77633,0.54761,0.61566,0.46916,0.93881,0.80931,1.22195,0.000312497,0.000312497,0.000312497
43,2854.06,0.88562,0.61501,1.16569,0.78212,0.54385,0.61384,0.4666,0.94018,0.81713,1.2238,0.000307289,0.000307289,0.000307289
44,2918.07,0.88539,0.61481,1.15037,0.79519,0.53809,0.61476,0.4685,0.94125,0.815,1.22026,0.000302082,0.000302082,0.000302082
45,2984.73,0.86429,0.60377,1.15044,0.80184,0.53379,0.61232,0.46738,0.9284,0.81171,1.21639,0.000296874,0.000296874,0.000296874
46,3044.56,0.89232,0.61296,1.14846,0.783,0.54443,0.61427,0.46641,0.93811,0.81028,1.2143,0.000291667,0.000291667,0.000291667
47,3103.18,0.87793,0.60616,1.15927,0.78238,0.55394,0.61959,0.47017,0.93916,0.81561,1.21688,0.00028646,0.00028646,0.00028646
48,3162.53,0.89946,0.62157,1.15358,0.77303,0.54841,0.61609,0.47103,0.93264,0.81813,1.21093,0.000281252,0.000281252,0.000281252
49,3223.33,0.88553,0.61468,1.15556,0.79862,0.54149,0.622,0.47561,0.93378,0.80617,1.20673,0.000276045,0.000276045,0.000276045
50,3282.83,0.87291,0.60484,1.15514,0.78391,0.54063,0.61643,0.47084,0.93435,0.82256,1.2141,0.000270837,0.000270837,0.000270837
51,3342.61,0.88156,0.6146,1.16158,0.80344,0.54241,0.61695,0.47087,0.92943,0.80919,1.21057,0.00026563,0.00026563,0.00026563
52,3401.88,0.87486,0.6087,1.14992,0.79403,0.5457,0.61816,0.47095,0.9287,0.8015,1.21366,0.000260423,0.000260423,0.000260423
